:Rank 1
Mark Borodovsky
Mark Braunstein
Sean Brennan
Ken Brown
Carrie Bruce
Amy Bruckman
Elijah Cameron
Richard Catrambone
Jan Thomas Cederborg
Min Changwoo
Polo Chau
Sonia Chernova
Edmond Chow
Henrik I. Christensen
Pak Ho Chung
Russell Clark
James Clawson
Tai Cohen
Thomas Conte
George Cox
Stephen Cross
David Dagon
Kaya De Barbaro
Munmun DeChoudhury
Frank Dellaert
Richard DeMillo
Bistra Dilkina
Betsy DiSalvo
Ellen Do
Constantine Dovrolis
Barry Drake
Charles Eastman
Ashley Rose Edgar
Keith Edwards
Charilaos Efthymiou
Greg Eisenhauer
Jacob Eisenstein
Alex Endert
Philip Enslow
Barbara Ericson
Hadi Esmaeilzadeh
Irfan Essa
James Foley
Daniel Forsyth
Lance Fortnow
Peter Freeman
Richard Fujimoto
Merrick Furst
Zvi Galil
Christina Gardner
Ada Gavrilovska
Eric Gilbert
John Goda
Ashok Goel
Eric Gold
Seymour Goodman
Oded Green
Beki Grinter
Concettina Guerra
Mark Guzdial
James Haagans
Harley Hamilton
William Harris
Brent Harrison
James Hays
Michael Helms
Richard Henneman
Kenneth Honea
Mary Hudachek-Buswell
Charles Isbell, Jr.
Melody Jackson
Surya Kalidindi
Sing-Bing Kang
Ramakrishan Kannan
Charlie Kemp
Hyesoon Kim
Taesoo Kim
Janet Kolodner
Robert Kolodner
Tushar Krishna
Neha Kumar
Maithilee Kunda
Pablo Laguna
William Leahy
Guy Lebanon
Rich LeBlanc
Sangho Lee
Wenke Lee
Hsein-Hsin Lee
Dave Lillethun
Richard Lipton
Michael Littman
Yongchao Liu
Karen Liu
Ling Liu
Rhonda Lowery
Blair MacIntyre
Brian Magerko
Leo Mark
Kristin Marsicano
Guilherme Grillo Martins
W. Michael McCracken
Melinda McDaniel
Keith McGreggor
Milena Mihail
Vincent J. Mooney III
Jillian Morn
Mark Moss
Elizabeth Mynatt
Mayur Naik
Shamkant Navathe
Nancy Nersessian
Edward Omiecinski
Olufisayo Omojokun
Alessandro Orso
Santosh Pande
Haesun Park
Troy Peace
Chris Peikert
Richard Peng
Roberto Perdisci
Chip Phillips
Colin Potts
Benjamin Pritchard
Milos Prvulovic
Calton Pu
Moin Qureshi
Ashwin Ram
Umakishore Ramachandran
Dana Randall
Anup Rao
Anup Rao
James Rehg
Mark Riedl
Jason Riedy
Jarek Rossignac
Agata Rozga
Spencer Rugaber
Jennifer Salazar
Howard Schmidt
Nikhil Lalit Shah
C. David Sherrill
Deirdre Shoemaker
Christopher Simpkins
David Smith
Le Song
Cedric Stallworth
Thad Starner
John Stasko
Mani Subramanian
Jay Summet
Jimeng Sun
Monica Sweat
Larry Sweet
Prasad Tetali
Sharma Thankachan
Andrea Thomaz
Sebastian Thrun
Greg Turk
James Tyson
Swaroop Vattam
Vijay Vazirani
Santosh Vempala
H. Venkateswaran
Jeffrey Vetter
Eric Vigoda
Eberhard Voit
Richard Vuduc
Bruce Walker
Peter Wan
Robert Waters Jr.
Jody Westby
David White
Jennifer Whitlow
Lauren G. Wilcox
Marilyn Wolf
Matthew Wolf
Fred Wright
Jun Xu
Jeffrey Young
Ellen Zegura
Hongyuan Zha

:Rank 10
:University of Texas-​Austin
Lorenzo Alvisi
Chandrajit Bajaj
Dana H. Ballard
Don Batory
Robert S. Boyer
James C. Browne 
William C. Bulko
Doug Burger
Philip E. Cannata
Vijay Chidambaram
Alan Cline
William Cook
Michael Dahlin
Inderjit Dhillon
Thomas Dillig
Isil Dillig
Glenn Downing
E. Allen Emerson
Fares Fraij
Don Fussell
Anna Gal
Ahmed Gheith
M. G. Gouda
Kristen Grauman
Marijn Heule
Warren A. Hunt Jr.
Matt Kaufmann
Stephen W. Keckler
Adam Klivans
Benjamin J. Kuipers
Devdatta  Kulkarni
Simon S. Lam
Vladimir Lifschitz
Calvin Lin
Kathryn S. McKinley
Risto Miikkulainen
Daniel P. Miranker
Jayadev Misra
Shyamal Mitra
Al Mok
Raymond Mooney
J Strother Moore 
Margaret Myers
Scott Niekum
Alison N. Norman
Gordon S. Novak Jr.
Simon Peter
Keshav Pingali
Greg Plaxton
Bruce Porter
Bill Press
Eric Price
Lili Qiu
